ID,CharName,Context
1,narration,그는 멕시코 만류에서 조각배를 타고 홀로 고기잡이하는 노인이었다.
,,여든 날하고도 나흘이 지나도록 고기 한 마리 낚지 못했다.
,,처음 사십 일 동안은 소년이 함께 있었다.
,,그러나 사십일이 지나도록 고기 한 마리 잡지 못하자
,,소년의 부모는 그에게 이제 노인이 누가 뭐래도 틀림없이 '살라오가 되었다고 말했다.
,,살라오'랑 스페인 말로 '가장 운이 없는 사람'이라는 뜻이다.
,,"소년은 부모가 시키는 대로 다른 배로 옮겨 타게 되었는데, "
,,그 배가 첫 주에 큼직한 고기를 세 마리나 잡았다
,,소년은 날마다 노인이 빈 배로 돌아오는 것을 보고 가슴이 아팠다.
,,그래서 늘 노인을 마중 나가 노인이 사려 놓은 났싯줄이며 갈고리며 작살이며
,,돛대에 돌돌 말아놓은 돛 따위를 나르는 일을 도와주었다.
,,돛은 여기저기 밀가루 부대 조각으로 기워져 있어서 돛대를 높이 펼쳐 올리면
,,마치 영원한 패배를 상징하는 깃발처럼 보였다.
,,노인은 깡마르고 여원 데다 목덜미에는 주름이 깊게 잡혀 있었다.
,,열대 지방의 바다가 반사하는 햇볕 때문에 그의 두 뺨에는 양성 피부암의 갈색 반점들이 나 있었다.
,,이 반점들은 얼굴 양쪽 훨씬 아래까지 번져 있었다.
,,두 손에는 큰 고기를 잡으면서 밧줄을 다루다가 생긴 상처가 깊게 파여 있었다. 
,,어느 것 하나 새로 생긴 상처는 아니었다.
,,고기가 살지 않는 사막의 침식 지대만큼이나 오랜 세월을 지낸 상처들이었다.
,,두 눈을 제외하면 노인의 것은 하나같이 노쇠해 있었다.
,,오직 두 눈만은 바다와 똑같은 빛깔을 띠었으며 기운차고 지칠 줄 몰랐다.
2,child,산티아고 할아버지
3,narration,소년은 조각배를 끌어올려 놓은 둑으로 올라가면서 노인에게 말했다.
4,child,이제 할아버지랑 다시 고기잡이를 할 수 있어요. 우린 돈 좀 벌었거든요.
5,narration,"노인은 소년에게 고기 잡는 법을 가르쳐 주었고, 그래서 소년은 그를 무척이나 따랐다."
6,oldMan,그건 안 돼. 네가 타는 배는 운이 좋은 배야. 그러니 그 사람들하고 그냥 있어라.
7,narration,노인이 말했다.
8,child,"할아버지는 여든 이레 동안이나 고기 한 마리 잡지 못하셨지만,"
,,우린 삼 주 동안 하루도 빼놓지 않고 큰 고기를 잡은 걸 기억하시죠?
9,oldMan,물론 기억하고말고. 네가 나한테서 떠난 게 내 솜씨를 의심해서가 아니라는 것도 잘 알고 있단다.
,,노인이 대답했다.
10,child,할아버지 곁을 떠나라고 한 건 아버지였어요.
,,"전 아직 어리니까 아버지 말을 따라야 해요,"
11,oldMan,"암, 그렇고말고. 당연히 그래야지"
12,narration,노인이 말했다.
13,child,그런데 아버지한테는 그다지 신념이라는 게 없어요.
14,oldMan,그래. 그건 그렇다. 하지만 우리한테는 신념이 있지. 안 그러냐?
15,narration,노인이 대꾸했다.
16,child,물론이죠. 제가 '테라스'에서 맥주 한 잔 사 드릴 테니 드시고 나서 어구를 나르도록 하죠.
17,narration,소년이 말했다.
18,oldMan,그렇게 하자꾸나. 우린 어부들이니까.
19,narration,노인이 대답했다.
